ticker,name,sector,industry,mcap,exch
PR,Permian Resources Corporation Class A,Energy,Oil & Gas Exploration & Production,16498416640.0,NYQ
PRA,ProAssurance Corporation,Financial Services,Insurance - Property & Casualty,1290193152.0,
PRAA,PRA Group Inc.,Finance,Finance: Consumer Services,705225019.0,
PRDO,Perdoceo Education Corporation,Consumer Defensive,Education & Training Services,2239128832.0,NMS
PRG,PROG Holdings Inc.,Financials,Consumer Finance,1772500551.0,
PRGO,Perrigo Company plc,Health Care,Pharmaceuticals,1414118609.0,
PRGS,Progress Software Corporation Common Stock (DE),Information Technology,Systems Software,1552749984.0,
PRI,Primerica Inc.,Financials,Life & Health Insurance,9497401344.0,NYQ
PRIM,Primoris Services Corporation,Industrials,Construction & Engineering,4698477568.0,NYQ
PRK,Park National Corporation,Financial Services,Banks - Regional,3338004480.0,ASE
PRKS,United Parks & Resorts Inc.,Consumer Discretionary,Leisure Facilities,2209242112.0,NYQ
PRLB,Proto Labs Inc. Common stock,Industrials,Industrial Machinery & Supplies & Components,1770276948.0,
PRN.L,Princes Group plc,Consumer Defensive,Packaged Foods,1064642381.0,LSE
PRSU,Pursuit Attractions and Hospitality Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1470827502.0,
PRTH,Priority Technology Holdings Inc.,Consumer Discretionary,Business Services,585545259.0,
PRU,Prudential Financial Inc.,Financials,Life & Health Insurance,40070901760.0,NYQ
PRU.L,Prudential plc,Financial Services,Insurance - Life,35341554784.0,LSE
PRVA,Privia Health Group Inc.,Health Care,Health Care Services,3464080128.0,NMS
PRY.MI,Prysmian S.p.A.,Industrials,Electrical Equipment & Parts,43903577442.0,MIL
PSA,Public Storage,Real Estate,Self-Storage REITs,56283811840.0,NYQ
PSH.L,"Pershing Square Holdings, Ltd.",Financial Services,Asset Management,9195788685.0,LSE
PSKY,Paramount Skydance Corporation Class B,Communication Services,Movies & Entertainment,10531419136.0,NMS
PSMT,PriceSmart Inc.,Consumer Staples,Consumer Staples Merchandise Retail,6057921024.0,NMS
PSN,Parsons Corporation,Industrials,Aerospace & Defense,5950145024.0,NYQ
PSN.L,Persimmon Plc,Consumer Cyclical,Residential Construction,4770258820.0,LSE
PSON.L,Pearson plc,Communication Services,Publishing,10109366588.0,LSE
PST.MI,Poste Italiane S.p.A.,Industrials,Conglomerates,41006669622.0,MIL
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,75520114688.0,NYQ
PTC,PTC Inc.,Information Technology,Application Software,14408192000.0,NMS
PTCT,"PTC Therapeutics, Inc.",Healthcare,Biotechnology,7038251008.0,NMS
PTEC.L,Playtech plc,Consumer Cyclical,Gambling,1401216250.0,LSE
PTEN,Patterson-UTI Energy Inc.,Energy,Oil & Gas Drilling,3564610048.0,NMS
PTGX,"Protagonist Therapeutics, Inc.",Healthcare,Biotechnology,8451800576.0,NGM
PTON,"Peloton Interactive, Inc.",Consumer Cyclical,Leisure,2537332736.0,NMS
PUB.PA,Publicis Groupe S.A.,Communication Services,Advertising Agencies,25978869213.0,PAR
PUBM,PubMatic Inc. Class A,Technology,Computer Software: Programming Data Processing,629307054.0,
PUIG.MC,Puig Brands SA,Consumer Defensive,Household & Personal Products,18432820797.0,BME
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3659599360.0,NYQ
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,98823610368.0,NYQ
PYPL,PayPal Holdings Inc.,Financials,Transaction & Payment Processing Services,40859123712.0,NMS
PZZA,Papa John's International Inc.,Consumer Discretionary,Restaurants,1101888449.0,
Q,Qnity Electronics Inc.,Information Technology,Semiconductor Materials & Equipment,30102978560.0,NYQ
QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors,199374651392.0,NMS
QCP,"Quality Care Properties, Inc.",,,,
QDEL,QuidelOrtho Corporation,Health Care,Health Care Supplies,1245849369.0,
QIA.DE,Qiagen N.V.,Healthcare,Diagnostics & Research,8534361349.0,XETR
QLT.L,Quilter plc,Financial Services,Asset Management,3751006437.0,LSE
QLYS,Qualys Inc.,Information Technology,Systems Software,5377285120.0,NMS
QMCO,Quantum Corporation,Technology,Electronic Components,394532490.0,
QNST,QuinStreet Inc.,Communication Services,Interactive Media & Services,964507762.0,
QQ.L,QinetiQ Group plc,Industrials,Aerospace & Defense,3080586458.0,LSE
QQQ,Invesco QQQ Trust,,,490103177216.0,
QRVO,Qorvo Inc.,Information Technology,Semiconductors,7569987072.0,NMS
QSR.TO,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants,35093718862.0,TSX
QTWO,Q2 Holdings Inc.,Information Technology,Application Software,3244580096.0,NYQ
R,"Ryder System, Inc.",Industrials,Rental & Leasing Services,10404401152.0,NYQ
